Bank Name,Universal Branch Code
ABSA Bank,632005
African Bank,430000
Bidvest Bank,462005
Capitec Bank,470010
Discovery Bank,679000
FNB (First National Bank),250655
Grindrod Bank,223626
HBZ Bank,570100
Investec Bank,580105
Mercantile Bank,450905
Nedbank,198765
Old Mutual,462005
Rand Merchant Bank,261251
SA Post Office (Postbank),460005
Sasfin Bank,683000
Standard Bank,051001
TymeBank,678910
